ID,SMILES,Name
239,NC(CC(=O)O)c1cnn(-c2ccccc2)c1,EN300-121093
240,NC1(C(=O)O)CCc2c(F)cccc21,EN300-122942
241,COc1cc(N)c(C(=O)O)c(Br)c1,EN300-123203
242,Nc1cc(C(=O)O)ccc1OC(F)F,EN300-123201
243,CN(CCN)CC(=O)O,EN300-121884
244,Nc1nc(O)c(Cl)nc1C(=O)O,EN300-121848
245,CC(N)CCCC(=O)O,EN300-121299
246,CC(C)C(N)CC(=O)O,EN300-123624
247,CCC(N)(C(=O)O)C(F)(F)F,EN300-124225
248,CC(C)(C)OC(=O)N[C@@H](CCCCN)C(=O)O,EN300-125460
249,Cc1nc(CN)ccc1C(=O)O,EN300-121937
250,NC(Cc1c[nH]c2ccc([N+](=O)[O-])cc12)C(=O)O,EN300-117948
251,Nc1cc(C(=O)O)ccc1-n1cnnc1,EN300-117212
252,CCCCC(N)C(O)C(=O)O,EN300-127223
253,CC(C)(C)c1cc(N)n(CC(=O)O)n1,EN300-116709
254,NC(CN1CCCCC1)C(=O)O,EN300-119192
255,Cc1nc(N)c(CC(=O)O)c(=O)[nH]1,EN300-117387
256,CC(CN)CCC(=O)O,EN300-120070
257,NCC(Oc1ccc(F)cc1)C(=O)O,EN300-117160
258,Nc1nc(C2CC2)c(C(=O)O)s1,EN300-119892
259,CC(CCCN)C(=O)O,EN300-119566
260,Nc1ccc(CCC(=O)O)cn1,EN300-104600
261,Nc1cccc([N+](=O)[O-])c1C(=O)O,EN300-93139
262,NC(Cc1ccc(F)cc1)C(=O)O,EN300-117230
263,CC(Cc1ccc(N)cc1)C(=O)O,EN300-131874
264,NCCOCC(=O)O,EN300-133893
265,Nc1ncncc1C(=O)O,EN300-136125
266,Nc1cc(C(=O)O)ccc1Cl,EN300-20481
267,Nc1cccc(I)c1C(=O)O,EN300-125492
268,NC(Cc1ccco1)C(=O)O,EN300-128458
269,CC(N)CC(=O)O,EN300-23041
270,CC(=O)Nc1ccc(N)c(C(=O)O)c1,EN300-24426
271,Cc1c(N)cccc1C(=O)O,EN300-66499
272,CC1(C)COC(C)(c2cc(N)ccc2C(=O)O)OC1,EN300-130918
273,Nc1ccc(CCC(=O)O)nc1,EN300-131776
274,Nc1nc(C(=O)O)n[nH]1,EN300-33966
275,Nc1cc2ccccc2cc1C(=O)O,EN300-17260
276,NCCCCCCC(=O)O,EN300-17159
277,NC1CCN(CCCCC(=O)O)CC1,EN300-137185
278,NCC(=O)O,EN300-19731
279,NC(CN1CCOCC1)C(=O)O,EN300-137381
280,Nc1ccc(I)cc1C(=O)O,EN300-16673
281,Cc1ccc(Br)c(C(=O)O)c1N,EN300-136945
282,C[C@H](N)C(=O)O,EN300-52621
283,Cc1cc(C)c(C(=O)O)cc1N,EN300-60660
284,NC(C(=O)O)C(O)c1ccccc1,EN300-132898
285,Nc1cccc(C(=O)O)c1O,EN300-111719
286,Nc1c(C(=O)O)sc2ncccc12,EN300-130474
287,Cc1cc(C(=O)O)c(N)cc1F,EN300-129928
288,NC(C(=O)O)c1ccccc1,EN300-22835
289,NC(C(=O)O)c1ccc2ccccc2c1,EN300-130456
290,NC(Cn1cc(Cl)cn1)C(=O)O,EN300-132992
291,NC1CCN(CCCC(=O)O)CC1,EN300-136479
292,Cc1cc(N)nn1CC(=O)O,EN300-155202
293,CC(C)(C(=O)O)n1cc(N)cn1,EN300-155204
294,Nc1cnn(CCC(=O)O)c1,EN300-155205
295,NC1(C(=O)O)CCCCC1,EN300-17792
296,NC[C@H]1CC[C@H](C(=O)O)CC1,EN300-121703
297,Cc1cc(C)cc(C(N)C(=O)O)c1,EN300-137947
298,Nc1nccnc1C(=O)O,EN300-16898
299,Nc1c(C(=O)O)[nH]c(=O)[nH]c1=O,EN300-19511
300,NC(Cc1cc2ccccc2o1)C(=O)O,EN300-141755
301,NCCCCCCCCCCC(=O)O,EN300-116808
302,Cn1nc(C(=O)O)cc1N,EN300-155203
303,NC1(C(=O)O)COC1,EN300-156432
304,Cc1nn(CC(N)C(=O)O)c(C)c1C,EN300-153100
305,CC(C)(N)CC(=O)O,EN300-77349
306,CCSc1nc(N)cc(C(=O)O)n1,EN300-139121
307,Nc1cc(O)c([N+](=O)[O-])cc1C(=O)O,EN300-140116
308,C=CCCC(N)C(=O)O,EN300-139499
309,NC(C(=O)O)c1cccnc1,EN300-58785
